latitude,longitude
34.27627, 108.96031
34.27648, 108.96061
34.27656, 108.96054
34.27668, 108.96054
34.27680, 108.96056
34.27694, 108.96034
34.27694, 108.96040
34.27694, 108.96027
34.27694, 108.96022
34.27694, 108.96011
34.27694, 108.95993
34.27695, 108.95968
34.27695, 108.95941
34.27696, 108.95913
34.27696, 108.95887
34.27692, 108.95855
34.27692, 108.95792
34.27694, 108.95761
34.27696, 108.95728
34.27698, 108.95693
34.27698, 108.95655
34.27699, 108.95615
34.27699, 108.95584
34.27699, 108.95546
34.27699, 108.95507
34.27699, 108.95469
34.27699, 108.95435
34.27699, 108.95389
34.27699, 108.95363
34.27699, 108.95351
34.27698, 108.95325
34.27697, 108.95303
34.27697, 108.95291
34.27696, 108.95274
34.27696, 108.95257
34.27696, 108.95237
34.27695, 108.95214
34.27695, 108.95202
34.27694, 108.95178
34.27694, 108.95158
34.27703, 108.95129
34.27706, 108.95115
34.27707, 108.95103
34.27706, 108.95112
34.27707, 108.95104
34.27708, 108.95090
34.27708, 108.95081
34.27709, 108.95071
34.27708, 108.95075
34.27709, 108.95067
34.27709, 108.95054
34.27709, 108.95048
34.27709, 108.95039
34.27717, 108.95023
34.27718, 108.95017
34.27718, 108.95007
34.27718, 108.95002
34.27717, 108.94994
34.27717, 108.94980
34.27716, 108.94969
34.27714, 108.94955
34.27712, 108.94946
34.27711, 108.94936
34.27694, 108.94898
34.27693, 108.94897
34.27687, 108.94878
34.27687, 108.94867
34.27688, 108.94846
34.27688, 108.94821
34.27688, 108.94798
34.27688, 108.94791
34.27688, 108.94778
34.27701, 108.94746
34.27704, 108.94721
34.27703, 108.94699
34.27692, 108.94680
34.27679, 108.94664
34.27670, 108.94657
34.27649, 108.94653
34.27623, 108.94650
34.27605, 108.94648
34.27583, 108.94647
34.27564, 108.94653
34.27559, 108.94657
34.27550, 108.94665
34.27535, 108.94680
34.27529, 108.94691
34.27506, 108.94715
34.27496, 108.94715
34.27461, 108.94715
34.27445, 108.94715
34.27437, 108.94715
34.27438, 108.94715
34.27427, 108.94715
34.27414, 108.94715
34.27402, 108.94715
34.27384, 108.94715
34.27371, 108.94715
34.27349, 108.94705
34.27334, 108.94705
34.27321, 108.94705
34.27311, 108.94705
34.27318, 108.94705
34.27316, 108.94705
34.27309, 108.94705
34.27302, 108.94705
34.27292, 108.94705
34.27307, 108.94705
34.27296, 108.94705
34.27284, 108.94705
34.27276, 108.94705
34.27263, 108.94705
34.27249, 108.94705
34.27245, 108.94705
34.27229, 108.94714
34.27213, 108.94714
34.27201, 108.94714
34.27191, 108.94714
34.27183, 108.94714
34.27174, 108.94714
34.27161, 108.94714
34.27152, 108.94714
34.27141, 108.94714
34.27127, 108.94714
34.27136, 108.94714
34.27140, 108.94714
34.27134, 108.94714
34.27128, 108.94714
34.27119, 108.94714
34.27105, 108.94713
34.27093, 108.94713
34.27082, 108.94713
34.27075, 108.94712
34.27074, 108.94712
34.27088, 108.94713
34.27079, 108.94713
34.27072, 108.94712
34.27058, 108.94712
34.27044, 108.94712
34.27035, 108.94711
34.27021, 108.94711
34.27014, 108.94711
34.27006, 108.94711
34.26994, 108.94711
34.26982, 108.94711
34.26971, 108.94710
34.26961, 108.94710
34.26946, 108.94710
34.26920, 108.94710
34.26898, 108.94710
34.26883, 108.94709
34.26861, 108.94709
34.26872, 108.94709
34.26883, 108.94709
34.26877, 108.94709
34.26876, 108.94709
34.26863, 108.94709
34.26845, 108.94709
34.26836, 108.94709
34.26824, 108.94709
34.26806, 108.94708
34.26782, 108.94708
34.26789, 108.94708
34.26772, 108.94708
34.26761, 108.94708
34.26754, 108.94708
34.26730, 108.94708
34.26713, 108.94708
34.26701, 108.94706
34.26691, 108.94698
34.26673, 108.94698
34.26661, 108.94698
34.26650, 108.94698
34.26619, 108.94697
34.26598, 108.94697
34.26588, 108.94697
34.26577, 108.94697
34.26567, 108.94697
34.26561, 108.94697
34.26547, 108.94697
34.26555, 108.94697
34.26545, 108.94697
