latitude,longitude
34.27368, 108.96040
34.27368, 108.96018
34.27368, 108.96002
34.27368, 108.95985
34.27368, 108.95966
34.27367, 108.95918
34.27367, 108.95894
34.27367, 108.95854
34.27367, 108.95834
34.27367, 108.95823
34.27367, 108.95803
34.27367, 108.95785
34.27367, 108.95771
34.27367, 108.95746
34.27367, 108.95726
34.27367, 108.95704
34.27367, 108.95678
34.27366, 108.95645
34.27366, 108.95614
34.27366, 108.95583
34.27366, 108.95549
34.27366, 108.95521
34.27366, 108.95500
34.27366, 108.95486
34.27366, 108.95472
34.27366, 108.95458
34.27366, 108.95445
34.27367, 108.95428
34.27367, 108.95402
34.27367, 108.95370
34.27367, 108.95336
34.27367, 108.95303
34.27367, 108.95271
34.27367, 108.95235
34.27367, 108.95201
34.27367, 108.95166
34.27368, 108.95131
34.27368, 108.95100
34.27368, 108.95075
34.27368, 108.95051
34.27367, 108.95029
34.27367, 108.95013
34.27366, 108.94991
34.27366, 108.94965
34.27365, 108.94938
34.27364, 108.94909
34.27364, 108.94883
34.27364, 108.94857
34.27364, 108.94837
34.27364, 108.94824
34.27364, 108.94806
34.27364, 108.94794
34.27364, 108.94782
34.27364, 108.94768
34.27364, 108.94754
34.27362, 108.94740
34.27359, 108.94715
34.27336, 108.94715
34.27322, 108.94715
34.27311, 108.94715
34.27287, 108.94715
34.27275, 108.94715
34.27265, 108.94715
34.27254, 108.94715
34.27239, 108.94715
34.27220, 108.94714
34.27209, 108.94714
34.27203, 108.94714
34.27193, 108.94714
34.27180, 108.94714
34.27169, 108.94714
34.27161, 108.94714
34.27147, 108.94714
34.27136, 108.94714
34.27125, 108.94714
34.27113, 108.94713
34.27102, 108.94713
34.27093, 108.94713
34.27085, 108.94713
34.27079, 108.94713
34.27068, 108.94712
34.27057, 108.94712
34.27047, 108.94712
34.27021, 108.94711
34.27007, 108.94711
34.26998, 108.94711
34.26979, 108.94711
34.26963, 108.94710
34.26952, 108.94710
34.26933, 108.94710
34.26922, 108.94710
34.26908, 108.94710
34.26898, 108.94710
34.26889, 108.94709
34.26881, 108.94709
34.26863, 108.94709
34.26841, 108.94709
34.26831, 108.94709
34.26821, 108.94709
34.26812, 108.94704
34.26804, 108.94699
34.26794, 108.94698
34.26782, 108.94698
34.26768, 108.94698
34.26749, 108.94698
34.26734, 108.94698
34.26719, 108.94698
34.26705, 108.94698
34.26696, 108.94698
34.26683, 108.94698
34.26673, 108.94698
34.26649, 108.94697
34.26629, 108.94697
34.26618, 108.94697
34.26617, 108.94697
34.26600, 108.94697
34.26586, 108.94697
34.26568, 108.94697
34.26546, 108.94697
34.26526, 108.94696
34.26483, 108.94695
34.26474, 108.94695
34.26467, 108.94695
34.26475, 108.94695
34.26457, 108.94695
34.26441, 108.94695
34.26424, 108.94695
34.26404, 108.94695
34.26382, 108.94695
34.26356, 108.94694
34.26329, 108.94694
34.26299, 108.94694
34.26267, 108.94693
34.26234, 108.94693
34.26205, 108.94693
34.26155, 108.94694
34.26138, 108.94694
34.26120, 108.94695
34.26096, 108.94695
34.26074, 108.94695
34.26053, 108.94695
34.26030, 108.94694
34.26009, 108.94694
34.25978, 108.94677
34.25968, 108.94663
34.25946, 108.94639
34.25945, 108.94617
34.25945, 108.94600
34.25945, 108.94580
34.25945, 108.94538
34.25945, 108.94528
34.25945, 108.94512
34.25945, 108.94500
34.25945, 108.94486
34.25945, 108.94473
34.25945, 108.94461
34.25945, 108.94448
34.25945, 108.94427
34.25945, 108.94407
34.25945, 108.94394
34.25945, 108.94376
34.25945, 108.94364
34.25945, 108.94353
34.25945, 108.94341
