latitude,longitude
34.26730, 108.94708
34.26722, 108.94708
34.26710, 108.94708
34.26696, 108.94708
34.26681, 108.94707
34.26671, 108.94707
34.26666, 108.94707
34.26657, 108.94707
34.26647, 108.94707
34.26635, 108.94707
34.26625, 108.94707
34.26610, 108.94707
34.26599, 108.94707
34.26581, 108.94707
34.26565, 108.94707
34.26549, 108.94707
34.26536, 108.94707
34.26522, 108.94706
34.26511, 108.94706
34.26499, 108.94706
34.26494, 108.94706
34.26495, 108.94706
34.26494, 108.94706
34.26481, 108.94705
34.26469, 108.94705
34.26453, 108.94705
34.26441, 108.94729
34.26440, 108.94748
34.26440, 108.94766
34.26440, 108.94788
34.26440, 108.94805
34.26439, 108.94827
34.26439, 108.94851
34.26439, 108.94877
34.26439, 108.94907
34.26439, 108.94940
34.26432, 108.94976
34.26432, 108.95011
34.26431, 108.95049
34.26431, 108.95086
34.26431, 108.95111
34.26430, 108.95135
34.26429, 108.95166
34.26429, 108.95189
34.26428, 108.95214
34.26428, 108.95243
34.26421, 108.95271
34.26408, 108.95278
34.26393, 108.95287
34.26378, 108.95299
34.26366, 108.95313
34.26356, 108.95332
34.26353, 108.95352
34.26349, 108.95384
34.26348, 108.95415
34.26349, 108.95447
34.26351, 108.95479
34.26354, 108.95512
34.26376, 108.95546
34.26398, 108.95560
34.26415, 108.95568
34.26424, 108.95570
34.26426, 108.95595
34.26426, 108.95620
34.26426, 108.95650
34.26427, 108.95686
34.26427, 108.95727
34.26427, 108.95766
34.26427, 108.95811
34.26427, 108.95852
34.26427, 108.95883
34.26433, 108.95919
34.26433, 108.95954
34.26433, 108.95980
34.26433, 108.95995
34.26433, 108.96004
34.26433, 108.96014
34.26433, 108.96034
34.26433, 108.96046
34.26432, 108.96063
34.26432, 108.96120
34.26432, 108.96159
34.26431, 108.96190
34.26431, 108.96234
34.26431, 108.96254
34.26431, 108.96273
34.26450, 108.96312
34.26460, 108.96312
34.26470, 108.96312
34.26489, 108.96312
34.26513, 108.96310
34.26532, 108.96309
34.26549, 108.96308
34.26563, 108.96307
34.26573, 108.96306
34.26583, 108.96306
34.26591, 108.96305
34.26602, 108.96305
