latitude,longitude
34.22545, 108.94366
34.22545, 108.94384
34.22545, 108.94402
34.22546, 108.94424
34.22546, 108.94448
34.22546, 108.94468
34.22546, 108.94485
34.22546, 108.94501
34.22546, 108.94520
34.22546, 108.94544
34.22547, 108.94568
34.22548, 108.94587
34.22549, 108.94598
34.22550, 108.94614
34.22551, 108.94625
34.22552, 108.94634
34.22553, 108.94646
34.22539, 108.94669
34.22524, 108.94669
34.22516, 108.94669
34.22505, 108.94669
34.22492, 108.94669
34.22482, 108.94669
34.22471, 108.94669
34.22459, 108.94669
34.22446, 108.94669
34.22436, 108.94669
34.22422, 108.94669
34.22406, 108.94669
34.22393, 108.94668
34.22381, 108.94668
34.22376, 108.94668
34.22367, 108.94670
34.22360, 108.94671
34.22351, 108.94671
34.22343, 108.94672
34.22336, 108.94673
34.22325, 108.94673
34.22315, 108.94674
34.22305, 108.94674
34.22320, 108.94683
34.22339, 108.94683
34.22364, 108.94683
34.22389, 108.94683
34.22409, 108.94683
34.22427, 108.94683
34.22446, 108.94683
34.22467, 108.94684
34.22487, 108.94684
34.22506, 108.94684
34.22519, 108.94684
34.22527, 108.94684
34.22536, 108.94684
34.22550, 108.94684
34.22572, 108.94685
34.22597, 108.94685
34.22628, 108.94685
34.22657, 108.94686
34.22685, 108.94686
34.22713, 108.94686
34.22741, 108.94686
34.22803, 108.94688
34.22832, 108.94688
34.22887, 108.94688
34.22943, 108.94692
34.22952, 108.94707
34.22955, 108.94721
34.22955, 108.94746
34.22956, 108.94774
34.22956, 108.94800
34.22956, 108.94828
34.22961, 108.94859
34.22972, 108.94888
34.22984, 108.94910
34.22990, 108.94923
34.22997, 108.94937
34.23005, 108.94955
34.23005, 108.94973
34.23005, 108.95001
34.23005, 108.95034
34.23002, 108.95068
34.23002, 108.95101
34.23001, 108.95134
34.23001, 108.95166
34.23001, 108.95201
34.23000, 108.95236
34.23000, 108.95273
34.22999, 108.95310
34.22999, 108.95346
34.22999, 108.95382
34.22999, 108.95417
34.22999, 108.95451
34.22999, 108.95483
34.22999, 108.95516
34.22999, 108.95549
34.22999, 108.95586
34.22999, 108.95619
34.22999, 108.95650
34.22999, 108.95682
34.23002, 108.95714
34.23003, 108.95750
34.23000, 108.95783
34.23001, 108.95822
34.23001, 108.95864
34.23001, 108.95910
34.23001, 108.95955
34.23001, 108.95996
34.23001, 108.96037
34.23003, 108.96077
34.23002, 108.96118
34.23001, 108.96160
34.23001, 108.96204
34.23001, 108.96252
34.23001, 108.96304
34.23001, 108.96355
34.23003, 108.96410
34.23006, 108.96512
34.23015, 108.96555
34.23029, 108.96591
34.23042, 108.96627
34.23055, 108.96659
34.23067, 108.96692
34.23079, 108.96722
34.23092, 108.96756
34.23104, 108.96789
34.23116, 108.96818
34.23130, 108.96851
34.23145, 108.96887
34.23161, 108.96924
34.23174, 108.96955
34.23185, 108.96981
34.23194, 108.97003
34.23193, 108.97030
34.23189, 108.97054
34.23192, 108.97069
34.23198, 108.97089
34.23205, 108.97114
34.23213, 108.97144
34.23216, 108.97172
34.23223, 108.97199
34.23237, 108.97237
34.23246, 108.97258
34.23258, 108.97286
34.23272, 108.97325
34.23274, 108.97338
34.23260, 108.97352
34.23243, 108.97363
34.23223, 108.97377
34.23194, 108.97396
34.23184, 108.97403
34.23177, 108.97409
