latitude,longitude
34.26244, 108.95200
34.26244, 108.95178
34.26244, 108.95169
34.26244, 108.95149
34.26244, 108.95140
34.26244, 108.95126
34.26244, 108.95101
34.26244, 108.95080
34.26245, 108.95071
34.26245, 108.95051
34.26245, 108.95028
34.26245, 108.95014
34.26245, 108.95001
34.26245, 108.94988
34.26245, 108.94975
34.26245, 108.94965
34.26249, 108.94962
34.26261, 108.94962
34.26278, 108.94962
34.26293, 108.94963
34.26307, 108.94963
34.26327, 108.94964
34.26345, 108.94964
34.26362, 108.94965
34.26382, 108.94965
34.26397, 108.94966
34.26414, 108.94966
34.26421, 108.94966
34.26438, 108.94981
34.26438, 108.95000
34.26438, 108.95024
34.26437, 108.95052
34.26437, 108.95081
34.26437, 108.95105
34.26447, 108.95101
34.26447, 108.95087
34.26447, 108.95057
34.26448, 108.95022
34.26448, 108.94990
34.26449, 108.94959
34.26449, 108.94928
34.26450, 108.94892
34.26451, 108.94818
34.26451, 108.94786
34.26451, 108.94766
34.26451, 108.94745
34.26451, 108.94735
34.26458, 108.94727
34.26473, 108.94721
34.26491, 108.94721
34.26512, 108.94721
34.26539, 108.94722
34.26564, 108.94722
34.26591, 108.94722
34.26610, 108.94722
34.26619, 108.94722
34.26636, 108.94722
34.26655, 108.94723
34.26681, 108.94723
34.26708, 108.94724
34.26736, 108.94724
34.26764, 108.94724
34.26791, 108.94724
34.26812, 108.94724
34.26821, 108.94724
34.26829, 108.94724
34.26842, 108.94724
34.26856, 108.94724
34.26875, 108.94724
34.26886, 108.94724
34.26896, 108.94725
34.26906, 108.94725
34.26918, 108.94725
34.26928, 108.94725
34.26940, 108.94726
34.26952, 108.94726
34.26971, 108.94726
34.26995, 108.94714
34.26995, 108.94708
34.26995, 108.94693
34.26995, 108.94668
34.26995, 108.94635
34.26995, 108.94600
34.26995, 108.94557
34.26995, 108.94511
34.26994, 108.94446
34.26994, 108.94411
34.26994, 108.94356
34.26993, 108.94301
34.26992, 108.94252
34.26991, 108.94207
34.26996, 108.94144
34.26995, 108.94093
34.26994, 108.94063
34.26994, 108.94012
34.26993, 108.93957
34.26992, 108.93906
34.26992, 108.93844
34.26992, 108.93815
34.26992, 108.93796
34.26992, 108.93771
34.26992, 108.93743
34.26992, 108.93728
34.26991, 108.93711
34.26985, 108.93693
34.26985, 108.93674
34.26985, 108.93651
34.26984, 108.93622
34.26984, 108.93595
34.26983, 108.93562
34.26983, 108.93526
34.26983, 108.93483
34.26982, 108.93445
34.26981, 108.93407
34.26979, 108.93370
34.26979, 108.93341
34.26979, 108.93323
34.26979, 108.93314
34.26995, 108.93293
34.27021, 108.93294
34.27065, 108.93297
34.27089, 108.93297
34.27118, 108.93298
34.27143, 108.93299
34.27170, 108.93300
34.27193, 108.93301
34.27217, 108.93302
34.27244, 108.93302
34.27270, 108.93302
34.27285, 108.93302
34.27297, 108.93302
34.27307, 108.93303
34.27333, 108.93303
34.27356, 108.93303
34.27381, 108.93304
34.27416, 108.93306
34.27438, 108.93307
34.27462, 108.93308
34.27486, 108.93308
34.27505, 108.93309
34.27528, 108.93310
34.27556, 108.93310
34.27568, 108.93311
34.27586, 108.93311
34.27608, 108.93310
34.27619, 108.93310
34.27628, 108.93309
34.27638, 108.93309
34.27647, 108.93309
34.27650, 108.93324
34.27650, 108.93337
34.27650, 108.93352
34.27651, 108.93380
34.27651, 108.93400
34.27652, 108.93412
34.27652, 108.93428
34.27652, 108.93437
34.27653, 108.93451
34.27653, 108.93460
34.27653, 108.93473
34.27658, 108.93490
34.27671, 108.93503
34.27682, 108.93505
34.27691, 108.93499
34.27702, 108.93445
34.27698, 108.93420
34.27693, 108.93393
34.27691, 108.93377
34.27689, 108.93364
34.27688, 108.93354
34.27688, 108.93343
34.27688, 108.93330
34.27711, 108.93312
34.27734, 108.93313
34.27754, 108.93314
34.27775, 108.93315
34.27793, 108.93316
34.27802, 108.93316
34.27819, 108.93317
34.27832, 108.93318
34.27845, 108.93318
34.27855, 108.93319
34.27867, 108.93319
34.27878, 108.93319
34.27889, 108.93320
34.27901, 108.93320
34.27912, 108.93321
34.27922, 108.93321
34.27937, 108.93321
34.27950, 108.93322
34.27958, 108.93322
34.27972, 108.93322
34.27981, 108.93322
34.27989, 108.93323
