latitude,longitude
34.25291, 108.94585
34.25292, 108.94600
34.25292, 108.94612
34.25292, 108.94604
34.25291, 108.94585
34.25290, 108.94564
34.25289, 108.94542
34.25288, 108.94516
34.25287, 108.94493
34.25284, 108.94475
34.25275, 108.94462
34.25267, 108.94440
34.25259, 108.94417
34.25256, 108.94390
34.25251, 108.94358
34.25248, 108.94325
34.25248, 108.94293
34.25248, 108.94263
34.25248, 108.94233
34.25242, 108.94203
34.25239, 108.94173
34.25239, 108.94147
34.25239, 108.94121
34.25239, 108.94093
34.25239, 108.94064
34.25239, 108.94034
34.25240, 108.94007
34.25242, 108.93979
34.25244, 108.93952
34.25246, 108.93931
34.25250, 108.93917
34.25270, 108.93916
34.25296, 108.93916
34.25324, 108.93915
34.25352, 108.93915
34.25379, 108.93914
34.25466, 108.93913
34.25496, 108.93912
34.25521, 108.93912
34.25533, 108.93912
34.25542, 108.93912
34.25551, 108.93912
34.25569, 108.93912
34.25593, 108.93912
34.25618, 108.93912
34.25649, 108.93911
34.25673, 108.93911
34.25697, 108.93911
34.25716, 108.93912
34.25738, 108.93912
34.25758, 108.93912
34.25781, 108.93912
34.25807, 108.93913
34.25836, 108.93913
34.25865, 108.93913
34.25894, 108.93913
34.25922, 108.93913
34.25934, 108.93914
34.25954, 108.93880
34.25954, 108.93857
34.25955, 108.93830
34.25956, 108.93761
34.25956, 108.93720
34.25955, 108.93675
34.25954, 108.93637
34.25954, 108.93597
34.25954, 108.93555
34.25954, 108.93515
34.25954, 108.93479
34.25954, 108.93445
34.25954, 108.93413
34.25954, 108.93382
34.25954, 108.93354
34.25954, 108.93328
34.25954, 108.93305
34.25954, 108.93290
34.25954, 108.93275
34.25954, 108.93260
