latitude,longitude
34.27514, 108.96279
34.27503, 108.96279
34.27492, 108.96279
34.27485, 108.96280
34.27467, 108.96280
34.27451, 108.96280
34.27437, 108.96280
34.27429, 108.96280
34.27412, 108.96280
34.27403, 108.96280
34.27387, 108.96280
34.27376, 108.96280
34.27369, 108.96265
34.27369, 108.96260
34.27370, 108.96247
34.27370, 108.96236
34.27370, 108.96216
34.27370, 108.96194
34.27370, 108.96181
34.27370, 108.96168
34.27369, 108.96149
34.27369, 108.96124
34.27368, 108.96102
34.27368, 108.96078
34.27368, 108.96067
34.27368, 108.96051
34.27368, 108.96030
34.27368, 108.96003
34.27368, 108.95972
34.27368, 108.95940
34.27367, 108.95909
34.27367, 108.95879
34.27367, 108.95849
34.27367, 108.95818
34.27367, 108.95782
34.27367, 108.95701
34.27367, 108.95662
34.27366, 108.95624
34.27366, 108.95582
34.27366, 108.95507
34.27366, 108.95474
34.27366, 108.95455
34.27366, 108.95441
34.27367, 108.95427
34.27367, 108.95407
34.27367, 108.95379
34.27367, 108.95345
34.27367, 108.95305
34.27367, 108.95262
34.27367, 108.95214
34.27367, 108.95174
34.27368, 108.95122
34.27368, 108.95072
34.27367, 108.95022
34.27366, 108.94975
34.27365, 108.94931
34.27364, 108.94887
34.27364, 108.94841
34.27364, 108.94799
34.27364, 108.94762
34.27363, 108.94747
34.27369, 108.94732
34.27375, 108.94732
34.27398, 108.94732
34.27427, 108.94732
34.27458, 108.94732
34.27488, 108.94732
34.27516, 108.94732
34.27534, 108.94761
34.27559, 108.94783
34.27586, 108.94788
34.27611, 108.94788
34.27621, 108.94788
34.27629, 108.94788
34.27651, 108.94786
34.27673, 108.94780
34.27680, 108.94777
34.27689, 108.94771
34.27696, 108.94760
34.27704, 108.94734
34.27704, 108.94720
34.27704, 108.94711
34.27703, 108.94698
34.27700, 108.94664
34.27698, 108.94636
34.27696, 108.94594
34.27692, 108.94555
34.27691, 108.94516
34.27690, 108.94478
34.27689, 108.94436
34.27689, 108.94400
34.27697, 108.94289
34.27696, 108.94240
34.27694, 108.94195
34.27693, 108.94156
34.27691, 108.94124
34.27688, 108.94089
34.27680, 108.94051
34.27678, 108.93985
34.27678, 108.93952
34.27677, 108.93912
34.27676, 108.93871
34.27676, 108.93841
34.27675, 108.93781
34.27675, 108.93741
34.27690, 108.93696
34.27692, 108.93645
34.27691, 108.93598
34.27691, 108.93556
34.27692, 108.93521
34.27698, 108.93492
34.27699, 108.93426
34.27692, 108.93388
34.27688, 108.93351
34.27689, 108.93328
34.27698, 108.93316
34.27722, 108.93312
34.27758, 108.93314
34.27792, 108.93316
34.27825, 108.93318
34.27859, 108.93319
34.27895, 108.93320
34.27930, 108.93321
34.27965, 108.93322
