latitude,longitude
34.23710, 108.94676
34.23699, 108.94676
34.23656, 108.94676
34.23628, 108.94676
34.23596, 108.94676
34.23566, 108.94676
34.23539, 108.94676
34.23509, 108.94676
34.23477, 108.94676
34.23441, 108.94676
34.23409, 108.94676
34.23386, 108.94675
34.23359, 108.94675
34.23327, 108.94675
34.23294, 108.94675
34.23259, 108.94674
34.23224, 108.94674
34.23183, 108.94674
34.23139, 108.94674
34.23092, 108.94674
34.23050, 108.94674
34.23012, 108.94674
34.22976, 108.94673
34.22941, 108.94672
34.22904, 108.94672
34.22862, 108.94672
34.22823, 108.94672
34.22795, 108.94672
34.22774, 108.94672
34.22755, 108.94672
34.22741, 108.94671
34.22729, 108.94671
34.22719, 108.94671
34.22705, 108.94671
34.22696, 108.94671
34.22687, 108.94671
34.22679, 108.94671
34.22670, 108.94671
34.22654, 108.94670
34.22644, 108.94670
34.22630, 108.94670
34.22616, 108.94670
34.22605, 108.94670
34.22594, 108.94670
34.22586, 108.94670
34.22574, 108.94670
34.22566, 108.94670
34.22558, 108.94670
34.22549, 108.94669
34.22542, 108.94669
34.22534, 108.94669
34.22525, 108.94669
34.22514, 108.94669
34.22505, 108.94669
34.22493, 108.94669
34.22476, 108.94669
34.22456, 108.94669
34.22434, 108.94669
34.22416, 108.94669
34.22400, 108.94668
34.22392, 108.94668
34.22377, 108.94668
34.22370, 108.94670
34.22360, 108.94671
34.22352, 108.94671
34.22344, 108.94672
34.22337, 108.94673
34.22326, 108.94673
34.22314, 108.94674
34.22302, 108.94674
34.22305, 108.94683
34.22325, 108.94683
34.22336, 108.94683
