latitude,longitude
34.25967, 108.95024
34.25966, 108.95010
34.25966, 108.94999
34.25966, 108.94987
34.25966, 108.94976
34.25965, 108.94965
34.25965, 108.94951
34.25965, 108.94939
34.25965, 108.94924
34.25965, 108.94915
34.25965, 108.94904
34.25964, 108.94890
34.25964, 108.94881
34.25964, 108.94863
34.25963, 108.94848
34.25963, 108.94836
34.25963, 108.94823
34.25963, 108.94804
34.25959, 108.94780
34.25941, 108.94797
34.25941, 108.94812
34.25941, 108.94831
34.25942, 108.94854
34.25942, 108.94881
34.25943, 108.94923
34.25944, 108.94979
34.25945, 108.95031
34.25945, 108.95054
34.25946, 108.95077
34.25946, 108.95102
34.25947, 108.95128
34.25948, 108.95155
34.25948, 108.95186
34.25949, 108.95217
34.25949, 108.95245
34.25949, 108.95272
34.25950, 108.95297
34.25950, 108.95310
34.25950, 108.95324
34.25950, 108.95339
34.25951, 108.95362
34.25952, 108.95372
34.25952, 108.95391
34.25953, 108.95403
34.25972, 108.95419
34.25986, 108.95419
34.26006, 108.95419
34.26029, 108.95420
34.26054, 108.95421
34.26080, 108.95422
34.26107, 108.95422
34.26129, 108.95423
34.26140, 108.95423
34.26148, 108.95423
34.26159, 108.95423
34.26167, 108.95423
34.26189, 108.95424
34.26214, 108.95424
34.26239, 108.95424
34.26265, 108.95425
34.26288, 108.95425
34.26313, 108.95425
34.26348, 108.95438
34.26351, 108.95471
34.26352, 108.95498
34.26356, 108.95518
34.26366, 108.95536
34.26381, 108.95549
34.26399, 108.95560
34.26413, 108.95567
34.26426, 108.95597
34.26426, 108.95626
34.26426, 108.95657
34.26427, 108.95710
34.26427, 108.95735
34.26427, 108.95763
34.26427, 108.95796
34.26427, 108.95829
34.26427, 108.95861
34.26427, 108.95890
34.26427, 108.95921
34.26427, 108.95951
34.26427, 108.95980
34.26427, 108.96009
34.26427, 108.96024
34.26427, 108.96038
34.26444, 108.96058
34.26464, 108.96058
34.26490, 108.96058
34.26514, 108.96058
34.26542, 108.96059
34.26568, 108.96059
34.26620, 108.96058
34.26646, 108.96058
34.26671, 108.96058
34.26695, 108.96058
34.26719, 108.96058
34.26745, 108.96058
34.26774, 108.96058
34.26801, 108.96058
34.26828, 108.96058
34.26854, 108.96058
34.26880, 108.96058
34.26906, 108.96058
34.26931, 108.96058
34.26944, 108.96058
34.26957, 108.96058
34.26974, 108.96058
34.26995, 108.96058
34.27019, 108.96058
34.27038, 108.96058
34.27060, 108.96058
34.27084, 108.96058
34.27107, 108.96058
34.27128, 108.96058
34.27150, 108.96058
34.27172, 108.96058
34.27201, 108.96059
34.27220, 108.96059
34.27240, 108.96059
34.27262, 108.96059
34.27284, 108.96059
34.27303, 108.96059
34.27339, 108.96059
34.27355, 108.96059
34.27375, 108.96060
34.27395, 108.96060
34.27413, 108.96059
34.27421, 108.96059
34.27433, 108.96059
34.27448, 108.96058
34.27468, 108.96058
34.27488, 108.96058
34.27508, 108.96058
34.27528, 108.96058
34.27550, 108.96058
34.27575, 108.96058
34.27588, 108.96058
34.27625, 108.96061
34.27642, 108.96061
34.27652, 108.96061
34.27667, 108.96054
34.27694, 108.96025
34.27694, 108.96003
34.27694, 108.95991
34.27695, 108.95962
34.27695, 108.95940
34.27695, 108.95917
34.27696, 108.95892
34.27694, 108.95868
34.27691, 108.95847
34.27690, 108.95829
34.27692, 108.95800
34.27693, 108.95773
34.27696, 108.95715
34.27698, 108.95686
34.27698, 108.95654
34.27699, 108.95624
34.27699, 108.95595
34.27699, 108.95566
34.27699, 108.95537
34.27699, 108.95508
34.27699, 108.95480
34.27699, 108.95452
34.27699, 108.95428
34.27699, 108.95407
34.27699, 108.95384
34.27699, 108.95356
34.27698, 108.95327
34.27697, 108.95298
34.27696, 108.95267
34.27696, 108.95237
34.27695, 108.95209
34.27694, 108.95184
34.27694, 108.95160
34.27697, 108.95135
34.27705, 108.95116
34.27708, 108.95095
34.27708, 108.95075
34.27709, 108.95055
34.27716, 108.95031
34.27718, 108.95022
34.27718, 108.95002
34.27717, 108.94988
34.27717, 108.94975
34.27715, 108.94963
34.27713, 108.94951
34.27711, 108.94935
34.27705, 108.94924
34.27699, 108.94910
34.27687, 108.94886
34.27687, 108.94869
34.27687, 108.94857
34.27688, 108.94843
34.27688, 108.94823
34.27688, 108.94814
34.27688, 108.94797
34.27688, 108.94782
34.27699, 108.94754
34.27723, 108.94731
34.27742, 108.94730
34.27757, 108.94730
34.27773, 108.94730
34.27796, 108.94731
34.27826, 108.94731
34.27850, 108.94731
34.27867, 108.94731
34.27886, 108.94731
34.27902, 108.94731
34.27920, 108.94730
34.27938, 108.94730
34.27957, 108.94730
34.27966, 108.94730
