latitude,longitude
34.26047, 108.96319
34.26059, 108.96319
34.26070, 108.96319
34.26086, 108.96318
34.26099, 108.96318
34.26117, 108.96317
34.26139, 108.96316
34.26163, 108.96315
34.26188, 108.96315
34.26210, 108.96315
34.26232, 108.96315
34.26263, 108.96315
34.26276, 108.96315
34.26295, 108.96315
34.26314, 108.96314
34.26340, 108.96314
34.26350, 108.96314
34.26363, 108.96314
34.26381, 108.96313
34.26395, 108.96313
34.26403, 108.96313
34.26419, 108.96313
34.26441, 108.96291
34.26441, 108.96282
34.26441, 108.96247
34.26441, 108.96225
34.26441, 108.96182
34.26441, 108.96157
34.26441, 108.96127
34.26441, 108.96108
34.26441, 108.96083
34.26441, 108.96063
34.26449, 108.96058
34.26464, 108.96058
34.26492, 108.96058
34.26519, 108.96058
34.26546, 108.96059
34.26563, 108.96059
34.26621, 108.96058
34.26649, 108.96058
34.26685, 108.96058
34.26711, 108.96058
34.26727, 108.96058
34.26748, 108.96058
34.26770, 108.96058
34.26797, 108.96058
34.26824, 108.96058
34.26846, 108.96058
34.26872, 108.96058
34.26895, 108.96058
34.26916, 108.96058
34.26932, 108.96058
34.26946, 108.96058
34.26955, 108.96058
34.26968, 108.96058
34.26982, 108.96058
34.26990, 108.96058
34.26998, 108.96058
34.27005, 108.96040
34.27005, 108.96024
34.27004, 108.96004
34.27004, 108.95983
34.27004, 108.95956
34.27004, 108.95927
34.27004, 108.95901
34.27004, 108.95874
34.27004, 108.95846
34.27004, 108.95818
34.27004, 108.95788
34.27004, 108.95758
34.27003, 108.95729
34.27003, 108.95703
34.27003, 108.95678
34.27003, 108.95669
34.27003, 108.95656
34.27003, 108.95639
34.27003, 108.95612
34.27003, 108.95584
34.27003, 108.95553
34.27003, 108.95522
34.27002, 108.95475
34.27002, 108.95450
34.27002, 108.95432
34.27002, 108.95410
34.27002, 108.95384
34.27001, 108.95355
34.27001, 108.95328
34.27001, 108.95299
34.27001, 108.95267
34.27000, 108.95233
34.27000, 108.95207
34.27000, 108.95183
34.27000, 108.95161
34.27000, 108.95140
34.27000, 108.95116
34.26999, 108.95091
34.26999, 108.95077
34.26999, 108.95067
34.26999, 108.95051
34.26999, 108.95033
34.26999, 108.95020
34.26999, 108.95008
34.26999, 108.94990
34.26999, 108.94978
34.26998, 108.94961
34.26998, 108.94952
