latitude,longitude
34.24131, 108.94346
34.24130, 108.94316
34.24130, 108.94296
34.24130, 108.94280
34.24130, 108.94254
34.24130, 108.94226
34.24130, 108.94195
34.24130, 108.94155
34.24130, 108.94115
34.24130, 108.94072
34.24130, 108.94033
34.24130, 108.93993
34.24131, 108.93958
34.24131, 108.93929
34.24149, 108.93916
34.24173, 108.93916
34.24201, 108.93916
34.24232, 108.93916
34.24297, 108.93916
34.24318, 108.93916
34.24328, 108.93916
34.24346, 108.93916
34.24367, 108.93916
34.24395, 108.93916
34.24430, 108.93916
34.24467, 108.93916
34.24504, 108.93917
34.24541, 108.93918
34.24577, 108.93918
34.24612, 108.93918
34.24648, 108.93919
34.24685, 108.93920
34.24722, 108.93920
34.24758, 108.93920
34.24795, 108.93921
34.24831, 108.93922
34.24870, 108.93923
34.24907, 108.93922
34.24945, 108.93922
34.24985, 108.93921
34.25020, 108.93921
34.25048, 108.93921
34.25056, 108.93921
34.25079, 108.93921
34.25098, 108.93921
34.25123, 108.93920
34.25153, 108.93919
34.25180, 108.93917
34.25213, 108.93917
34.25247, 108.93917
34.25282, 108.93916
34.25317, 108.93916
34.25352, 108.93915
34.25387, 108.93914
34.25420, 108.93914
34.25452, 108.93913
34.25485, 108.93912
34.25515, 108.93912
34.25577, 108.93912
34.25611, 108.93912
34.25647, 108.93911
34.25680, 108.93911
34.25707, 108.93912
34.25727, 108.93912
34.25737, 108.93912
34.25748, 108.93912
34.25759, 108.93912
34.25806, 108.93913
34.25834, 108.93913
34.25859, 108.93913
34.25883, 108.93913
34.25901, 108.93913
34.25912, 108.93913
34.25926, 108.93913
34.25943, 108.93912
34.25954, 108.93879
34.25954, 108.93857
34.25955, 108.93825
34.25955, 108.93788
34.25956, 108.93751
34.25956, 108.93713
34.25955, 108.93676
34.25954, 108.93621
34.25954, 108.93587
34.25954, 108.93553
34.25954, 108.93517
34.25954, 108.93482
34.25954, 108.93448
34.25954, 108.93418
34.25954, 108.93384
34.25954, 108.93352
34.25954, 108.93338
34.25954, 108.93322
34.25954, 108.93311
34.25954, 108.93292
34.25954, 108.93280
34.25954, 108.93267
34.25957, 108.93254
34.25965, 108.93254
34.25977, 108.93254
34.25987, 108.93254
34.25998, 108.93255
34.26010, 108.93255
34.26026, 108.93256
34.26045, 108.93255
34.26063, 108.93255
34.26076, 108.93256
34.26095, 108.93256
34.26108, 108.93256
34.26119, 108.93256
34.26127, 108.93256
34.26144, 108.93256
34.26157, 108.93256
34.26165, 108.93257
34.26176, 108.93257
34.26201, 108.93257
34.26217, 108.93257
34.26227, 108.93256
34.26239, 108.93255
34.26257, 108.93253
34.26275, 108.93252
34.26290, 108.93250
34.26297, 108.93250
