latitude,longitude
34.24100, 108.91203
34.24100, 108.91234
34.24100, 108.91270
34.24100, 108.91299
34.24101, 108.91383
34.24101, 108.91419
34.24101, 108.91460
34.24102, 108.91500
34.24102, 108.91540
34.24102, 108.91576
34.24102, 108.91615
34.24102, 108.91657
34.24103, 108.91782
34.24103, 108.91822
34.24104, 108.91863
34.24104, 108.91900
34.24104, 108.91948
34.24104, 108.91988
34.24104, 108.92030
34.24104, 108.92066
34.24104, 108.92107
34.24104, 108.92142
34.24104, 108.92165
34.24104, 108.92194
34.24104, 108.92220
34.24105, 108.92244
34.24105, 108.92261
34.24105, 108.92270
34.24105, 108.92297
34.24105, 108.92306
34.24105, 108.92324
34.24104, 108.92333
34.24104, 108.92345
34.24104, 108.92366
34.24104, 108.92381
34.24104, 108.92398
34.24104, 108.92426
34.24104, 108.92442
34.24104, 108.92464
34.24105, 108.92489
34.24106, 108.92510
34.24107, 108.92554
34.24107, 108.92586
34.24107, 108.92624
34.24107, 108.92662
34.24107, 108.92700
34.24107, 108.92735
34.24107, 108.92767
34.24108, 108.92799
34.24109, 108.92830
34.24109, 108.92861
34.24109, 108.92890
34.24109, 108.92921
34.24109, 108.92949
34.24109, 108.92982
34.24109, 108.93019
34.24109, 108.93056
34.24109, 108.93088
34.24109, 108.93109
34.24109, 108.93128
34.24109, 108.93137
34.24109, 108.93150
34.24109, 108.93156
34.24109, 108.93170
34.24109, 108.93197
34.24110, 108.93208
34.24101, 108.93223
34.24101, 108.93233
34.24101, 108.93253
34.24101, 108.93270
34.24101, 108.93291
34.24101, 108.93303
34.24101, 108.93317
34.24101, 108.93328
34.24102, 108.93358
34.24102, 108.93372
34.24102, 108.93402
34.24102, 108.93425
34.24102, 108.93449
34.24102, 108.93473
34.24102, 108.93498
34.24102, 108.93520
34.24102, 108.93540
34.24102, 108.93562
34.24111, 108.93587
34.24111, 108.93608
34.24111, 108.93631
34.24111, 108.93660
34.24111, 108.93691
34.24111, 108.93722
34.24111, 108.93751
34.24112, 108.93783
34.24112, 108.93812
34.24112, 108.93826
34.24112, 108.93840
34.24112, 108.93851
34.24112, 108.93866
34.24113, 108.93906
34.24112, 108.93931
34.24112, 108.93961
34.24112, 108.93992
34.24112, 108.94029
34.24112, 108.94067
34.24112, 108.94104
34.24112, 108.94134
34.24112, 108.94165
34.24112, 108.94189
34.24112, 108.94205
34.24113, 108.94227
34.24113, 108.94247
34.24113, 108.94269
34.24113, 108.94291
34.24105, 108.94303
34.24105, 108.94339
34.24105, 108.94355
34.24105, 108.94366
34.24105, 108.94378
34.24105, 108.94393
34.24106, 108.94403
34.24107, 108.94431
34.24107, 108.94450
34.24107, 108.94467
34.24107, 108.94477
34.24107, 108.94495
34.24107, 108.94504
34.24107, 108.94513
34.24107, 108.94534
34.24107, 108.94555
34.24107, 108.94574
34.24107, 108.94595
34.24107, 108.94607
34.24107, 108.94624
34.24107, 108.94646
34.24107, 108.94657
34.24107, 108.94679
34.24107, 108.94698
34.24106, 108.94718
34.24106, 108.94731
34.24105, 108.94749
34.24105, 108.94758
34.24105, 108.94771
